,Especie,Ticker,Spot,Moneyness,CallPut,Strike,TTM,impliedVolatility,Last,Bid,Ask,Avg,Tasa,Precio_BS,Precio_BIN
915,FB200807P00160000,FB,249.32999999999998,1.5583125,P,160.0,1,1.875000625,0.07,0.0,0.01,0.005,0.0008725,1.2320594663573392e-05,9.83185406067995e-06
7,FB200807C00165000,FB,249.32999999999998,1.511090909090909,C,165.0,1,3.021486821289063,87.0,83.45,84.7,84.075,0.0008725,84.37570635447216,84.3750091417394
916,FB200807P00165000,FB,249.32999999999998,1.511090909090909,P,165.0,1,1.75000125,0.01,0.0,0.01,0.005,0.0008725,1.245334775741222e-05,1.0180138362123929e-05
8,FB200807C00170000,FB,249.32999999999998,1.4666470588235294,C,170.0,1,2.8330107299804688,78.61,78.45,79.7,79.075,0.0008725,79.37751177256271,79.37655458843307
917,FB200807P00170000,FB,249.32999999999998,1.4666470588235294,P,170.0,1,1.625001875,0.01,0.0,0.01,0.005,0.0008725,1.1988674925011273e-05,9.862447671896008e-06
9,FB200807C00175000,FB,249.32999999999998,1.424742857142857,C,175.0,1,2.6484408789062504,64.85,73.45,74.7,74.075,0.0008725,74.37941366161277,74.3778726208704
918,FB200807P00175000,FB,249.32999999999998,1.424742857142857,P,175.0,1,1.5000025,0.01,0.0,0.01,0.005,0.0008725,1.0903231910840833e-05,8.888572138581707e-06
10,FB200807C00180000,FB,249.32999999999998,1.3851666666666667,C,180.0,1,2.4668007080078125,73.9,68.45,69.7,69.075,0.0008725,69.38130857261282,69.38019235450496
919,FB200807P00180000,FB,249.32999999999998,1.3851666666666667,P,180.0,1,1.3750031249999999,0.01,0.0,0.01,0.005,0.0008725,9.259069820616913e-06,7.311910933634507e-06
11,FB200807C00185000,FB,249.32999999999998,1.3477297297297297,C,185.0,1,2.291019897460937,65.84,63.45,64.7,64.075,0.0008725,64.38383470147937,64.38319363188431
920,FB200807P00185000,FB,249.32999999999998,1.3477297297297297,P,185.0,1,1.2812535937499998,0.01,0.0,0.01,0.005,0.0008725,1.2759308823427976e-05,1.0808680597607076e-05
12,FB200807C00190000,FB,249.32999999999998,1.3122631578947368,C,190.0,1,1.4921900390624998,60.6,58.65,59.7,59.175,0.0008725,59.33153241336771,59.33147178311197
921,FB200807P00190000,FB,249.32999999999998,1.3122631578947368,P,190.0,1,1.1875040625,0.01,0.0,0.01,0.005,0.0008725,1.7422698060562706e-05,1.442695823927821e-05
13,FB200807C00195000,FB,249.32999999999998,1.2786153846153845,C,195.0,1,1.9462893310546878,55.52,53.45,54.7,54.075,0.0008725,54.38923101011332,54.38768648350033
922,FB200807P00195000,FB,249.32999999999998,1.2786153846153845,P,195.0,1,1.0625046875000002,0.03,0.0,0.01,0.005,0.0008725,1.2587949873296873e-05,1.0526405772068202e-05
14,FB200807C00200000,FB,249.32999999999998,1.2466499999999998,C,200.0,1,0.9687503125,49.3,48.55,49.7,49.125,0.0008725,49.33049445664662,49.330492064410585
923,FB200807P00200000,FB,249.32999999999998,1.2466499999999998,P,200.0,1,0.9687503125,0.01,0.0,0.01,0.005,0.0008725,1.637502627417609e-05,1.3982827835229435e-05
15,FB200807C00205000,FB,249.32999999999998,1.2162439024390244,C,205.0,1,1.61328318359375,45.4,43.45,44.7,44.075,0.0008725,44.39667544871813,44.39606954428258
924,FB200807P00205000,FB,249.32999999999998,1.2162439024390244,P,205.0,1,0.87500125,0.01,0.0,0.01,0.005,0.0008725,2.1165139740190412e-05,1.8044598119137845e-05
16,FB200807C00207500,FB,249.32999999999998,1.201590361445783,C,207.5,1,1.5312523437499999,25.05,40.95,42.2,41.575,0.0008725,41.898918889347755,41.89790097238984
925,FB200807P00207500,FB,249.32999999999998,1.201590361445783,P,207.5,1,0.87500125,0.01,0.0,0.02,0.01,0.0008725,7.124432474867916e-05,6.365765166627374e-05
17,FB200807C00210000,FB,249.32999999999998,1.1872857142857143,C,210.0,1,1.4492215039062502,39.9,38.45,39.7,39.075,0.0008725,39.40122092638259,39.39942512195356
926,FB200807P00210000,FB,249.32999999999998,1.1872857142857143,P,210.0,1,0.7812521875,0.01,0.0,0.01,0.005,0.0008725,2.728084717320764e-05,2.389704007053711e-05
18,FB200807C00212500,FB,249.32999999999998,1.1733176470588234,C,212.5,1,0.9257819921875,42.0,36.15,37.2,36.675,0.0008725,36.83193523616126,36.831863786859344
927,FB200807P00212500,FB,249.32999999999998,1.1733176470588234,P,212.5,1,0.85937640625,0.01,0.0,0.06,0.03,0.0008725,0.0004889168938447749,0.00044814781756678725
19,FB200807C00215000,FB,249.32999999999998,1.159674418604651,C,215.0,1,0.867188828125,35.84,33.65,34.7,34.175,0.0008725,34.332047944579614,34.33194593165618
928,FB200807P00215000,FB,249.32999999999998,1.159674418604651,P,215.0,1,0.6718782812500002,0.01,0.0,0.01,0.005,0.0008725,2.2221087013066243e-05,1.925089286759727e-05
20,FB200807C00217500,FB,249.32999999999998,1.146344827586207,C,217.5,1,0.8476577734374999,34.99,31.2,32.2,31.700000000000003,0.0008725,31.83350523815352,31.83338756667599
929,FB200807P00217500,FB,249.32999999999998,1.146344827586207,P,217.5,1,0.6640658593750002,0.01,0.0,0.02,0.01,0.0008725,7.889912570707355e-05,7.077301409020403e-05
21,FB200807C00220000,FB,249.32999999999998,1.1333181818181817,C,220.0,1,1.0263720556640625,30.97,28.7,29.5,29.1,0.0008725,29.372743763430805,29.372396040144803
930,FB200807P00220000,FB,249.32999999999998,1.1333181818181817,P,220.0,1,0.6796907031250001,0.03,0.02,0.03,0.025,0.0008725,0.00045380643022617517,0.00041908299192113733
22,FB200807C00222500,FB,249.32999999999998,1.1205842696629214,C,222.5,1,0.7246121289062499,25.82,26.2,27.2,26.7,0.0008725,26.833923415623076,26.833790220040218
931,FB200807P00222500,FB,249.32999999999998,1.1205842696629214,P,222.5,1,0.6210975390625001,0.02,0.02,0.03,0.025,0.0008725,0.0004440016314940093,0.0004151643712066659
23,FB200807C00225000,FB,249.32999999999998,1.1081333333333332,C,225.0,1,0.6621127539062501,23.0,23.7,24.7,24.2,0.0008725,24.33411304090555,24.333936854417832
932,FB200807P00225000,FB,249.32999999999998,1.1081333333333332,P,225.0,1,0.5546919531250001,0.04,0.0,0.04,0.02,0.0008725,0.0003475245619109779,0.0003144375818594817
24,FB200807C00227500,FB,249.32999999999998,1.0959560439560438,C,227.5,1,0.6269568554687501,23.3,21.25,22.2,21.725,0.0008725,21.83664955248659,21.83649337783072
933,FB200807P00227500,FB,249.32999999999998,1.0959560439560438,P,227.5,1,0.523442265625,0.04,0.02,0.04,0.03,0.0008725,0.000701019038766737,0.0006669411314843438
25,FB200807C00230000,FB,249.32999999999998,1.0840434782608694,C,230.0,1,0.5830119824218749,18.6,18.85,19.65,19.25,0.0008725,19.339825105603666,19.339651756779215
934,FB200807P00230000,FB,249.32999999999998,1.0840434782608694,P,230.0,1,0.51562984375,0.04,0.03,0.06,0.045,0.0008725,0.002557599970733737,0.002443887875874738
26,FB200807C00232500,FB,249.32999999999998,1.0723870967741935,C,232.5,1,0.7485376708984376,17.1,16.1,17.3,16.700000000000003,0.0008725,16.9707934897215,16.97066977415077
935,FB200807P00232500,FB,249.32999999999998,1.0723870967741935,P,232.5,1,0.49414568359375005,0.07,0.05,0.1,0.07500000000000001,0.0008725,0.0065557936322894195,0.006334640496874185
27,FB200807C00235000,FB,249.32999999999998,1.0609787234042551,C,235.0,1,0.6176796044921876,13.61,13.8,14.65,14.225000000000001,0.0008725,14.433874889602805,14.432650201025055
936,FB200807P00235000,FB,249.32999999999998,1.0609787234042551,P,235.0,1,0.46289599609375004,0.11,0.1,0.15,0.125,0.0008725,0.013999696100437165,0.013780385132169365
28,FB200807C00237500,FB,249.32999999999998,1.0498105263157893,C,237.5,1,0.5478560839843751,11.79,11.3,12.2,11.75,0.0008725,11.959668509717346,11.958143444998177
937,FB200807P00237500,FB,249.32999999999998,1.0498105263157893,P,237.5,1,0.41797457031249996,0.19,0.16,0.2,0.18,0.0008725,0.024433989823451796,0.024224213031128396
29,FB200807C00240000,FB,249.32999999999998,1.038875,C,240.0,1,0.43457596679687505,9.53,9.0,9.6,9.3,0.0008725,9.438234192789594,9.437625481517731
938,FB200807P00240000,FB,249.32999999999998,1.038875,P,240.0,1,0.40039662109375,0.34,0.33,0.36,0.345,0.0008725,0.06959835386754243,0.06904785489292727
30,FB200807C00242500,FB,249.32999999999998,1.0281649484536082,C,242.5,1,0.4023497265625,6.77,7.1,7.35,7.225,0.0008725,7.056971514851085,7.0571226575863735
939,FB200807P00242500,FB,249.32999999999998,1.0281649484536082,P,242.5,1,0.3857483300781249,0.63,0.58,0.65,0.615,0.0008725,0.1919812146960176,0.1919853350238857
31,FB200807C00245000,FB,249.32999999999998,1.017673469387755,C,245.0,1,0.3789124609375,5.24,5.1,5.3,5.199999999999999,0.0008725,4.837988835931725,4.83830818498791
940,FB200807P00245000,FB,249.32999999999998,1.017673469387755,P,245.0,1,0.3676821044921875,1.08,1.04,1.11,1.0750000000000002,0.0008725,0.46863612300421664,0.4697088688085919
32,FB200807C00247500,FB,249.32999999999998,1.0073939393939393,C,247.5,1,0.37695935546875,3.53,3.4,3.65,3.525,0.0008725,3.005469814208567,3.007307617561852
941,FB200807P00247500,FB,249.32999999999998,1.0073939393939393,P,247.5,1,0.37280900634765624,1.83,1.83,2.0,1.915,0.0008725,1.1548161443951983,1.156478895652262
33,FB200807C00250000,FB,249.32999999999998,0.99732,C,250.0,1,0.35767243896484374,2.17,2.1,2.22,2.16,0.0008725,1.5490495622005511,1.5469736184853369
942,FB200807P00250000,FB,249.32999999999998,0.99732,P,250.0,1,0.37842418457031246,3.02,2.9,3.25,3.075,0.0008725,2.325590386870516,2.323946053246284
34,FB200807C00252500,FB,249.32999999999998,0.9874455445544554,C,252.5,1,0.3505924316406249,1.25,1.2,1.25,1.225,0.0008725,0.6709522301747484,0.6705523337466347
943,FB200807P00252500,FB,249.32999999999998,0.9874455445544554,P,252.5,1,0.36914693359375,4.5,4.5,4.75,4.625,0.0008725,3.9179745459668993,3.9194845618876313
35,FB200807C00255000,FB,249.32999999999998,0.9777647058823529,C,255.0,1,0.3549869189453124,0.65,0.63,0.68,0.655,0.0008725,0.25746637541448436,0.25802668151663677
944,FB200807P00255000,FB,249.32999999999998,0.9777647058823529,P,255.0,1,0.41870698486328123,6.3,6.35,6.9,6.625,0.0008725,6.107518907805996,6.10780541958738
36,FB200807C00257500,FB,249.32999999999998,0.9682718446601941,C,257.5,1,0.366217275390625,0.37,0.31,0.37,0.33999999999999997,0.0008725,0.09281169800660827,0.09214204342622152
945,FB200807P00257500,FB,249.32999999999998,0.9682718446601941,P,257.5,1,0.48340360351562506,9.25,8.3,9.25,8.775,0.0008725,8.477648690973666,8.475660141870982
37,FB200807C00260000,FB,249.32999999999998,0.9589615384615384,C,260.0,1,0.3754945263671875,0.19,0.15,0.19,0.16999999999999998,0.0008725,0.029621040415968025,0.02910622408874628
946,FB200807P00260000,FB,249.32999999999998,0.9589615384615384,P,260.0,1,0.48438015625,11.2,10.5,11.4,10.95,0.0008725,10.801727833992857,10.801737560086561
38,FB200807C00262500,FB,249.32999999999998,0.9498285714285714,C,262.5,1,0.38867798828125,0.09,0.08,0.1,0.09,0.0008725,0.009500670403173261,0.00925966215691595
947,FB200807P00262500,FB,249.32999999999998,0.9498285714285714,P,262.5,1,0.5590864404296876,14.6,12.9,13.9,13.4,0.0008725,13.28781517427521,13.287885530480938
39,FB200807C00265000,FB,249.32999999999998,0.9408679245283018,C,265.0,1,0.41992767578125,0.06,0.05,0.07,0.060000000000000005,0.0008725,0.0047066266988974315,0.004609339167201654
948,FB200807P00265000,FB,249.32999999999998,0.9408679245283018,P,265.0,1,0.6147499462890625,14.0,15.35,16.35,15.850000000000001,0.0008725,15.762178855225386,15.762111131290386
40,FB200807C00267500,FB,249.32999999999998,0.9320747663551401,C,267.5,1,0.44922425781249997,0.03,0.04,0.05,0.045,0.0008725,0.002391384431005228,0.0022868625959432736
949,FB200807P00267500,FB,249.32999999999998,0.9320747663551401,P,267.5,1,0.6831086376953126,18.25,17.85,18.85,18.35,0.0008725,18.25490811572223,18.254014090125835
41,FB200807C00270000,FB,249.32999999999998,0.9234444444444444,C,270.0,1,0.48438015625,0.04,0.03,0.04,0.035,0.0008725,0.001512838743765732,0.001440879832879667
950,FB200807P00270000,FB,249.32999999999998,0.9234444444444444,P,270.0,1,0.7490259472656251,20.38,20.3,21.35,20.825000000000003,0.0008725,20.74871340708154,20.74851639744871
42,FB200807C00275000,FB,249.32999999999998,0.9066545454545454,C,275.0,1,0.51562984375,0.01,0.01,0.02,0.015,0.0008725,0.00024377841049414567,0.00022686077220051673
951,FB200807P00275000,FB,249.32999999999998,0.9066545454545454,P,275.0,1,0.807619111328125,27.1,25.3,26.2,25.75,0.0008725,25.707770894277843,25.7076361605308
43,FB200807C00280000,FB,249.32999999999998,0.8904642857142857,C,280.0,1,0.5312546875,0.01,0.0,0.01,0.005,0.0008725,2.4166157553223017e-05,2.1316041824237667e-05
952,FB200807P00280000,FB,249.32999999999998,0.8904642857142857,P,280.0,1,0.9970703417968749,29.61,30.3,31.35,30.825000000000003,0.0008725,30.732441877659056,30.73208754016946
44,FB200807C00285000,FB,249.32999999999998,0.8748421052631579,C,285.0,1,0.6562534375000001,0.01,0.0,0.02,0.01,0.0008725,0.00010475919055213251,9.544185626033336e-05
953,FB200807P00285000,FB,249.32999999999998,0.8748421052631579,P,285.0,1,1.1123091259765625,33.2,35.35,36.35,35.85,0.0008725,35.72669669622064,35.72614669549914
45,FB200807C00290000,FB,249.32999999999998,0.8597586206896551,C,290.0,1,0.6875031250000001,0.01,0.0,0.01,0.005,0.0008725,2.8106722421171893e-05,2.460667938418323e-05
954,FB200807P00290000,FB,249.32999999999998,0.8597586206896551,P,290.0,1,0.851563984375,41.0,40.3,41.55,40.925,0.0008725,40.6703864192412,40.6707531535635
46,FB200807C00295000,FB,249.32999999999998,0.845186440677966,C,295.0,1,0.7500025,0.01,0.0,0.01,0.005,0.0008725,2.0766464473289444e-05,1.7818527364108828e-05
47,FB200807C00300000,FB,249.32999999999998,0.8311,C,300.0,1,0.8125018749999999,0.01,0.0,0.01,0.005,0.0008725,1.6637820875566207e-05,1.4176543046415921e-05
955,FB200807P00300000,FB,249.32999999999998,0.8311,P,300.0,1,1.015629921875,47.83,50.3,51.55,50.925,0.0008725,50.67020279840784,50.670632152719705
48,FB200807C00305000,FB,249.32999999999998,0.8174754098360655,C,305.0,1,0.87500125,0.01,0.0,0.01,0.005,0.0008725,1.4213702488731364e-05,1.1697960308746705e-05
956,FB200807P00305000,FB,249.32999999999998,0.8174754098360655,P,305.0,1,1.09375453125,52.2,55.3,56.55,55.925,0.0008725,55.670122340670815,55.67055370400698
49,FB200807C00310000,FB,249.32999999999998,0.8042903225806451,C,310.0,1,1.1171919140625,0.03,0.0,0.06,0.03,0.0008725,0.00038042303713584427,0.0003497725945468606
50,FB200807C00315000,FB,249.32999999999998,0.7915238095238095,C,315.0,1,1.140629296875,0.01,0.0,0.04,0.02,0.0008725,0.0001729176909069565,0.00015652960515121511
957,FB200807P00315000,FB,249.32999999999998,0.7915238095238095,P,315.0,1,1.2460975195312498,61.7,65.3,66.55,65.925,0.0008725,65.67000808097069,65.67048136048875
51,FB200807C00320000,FB,249.32999999999998,0.77915625,C,320.0,1,1.0625046875000002,0.02,0.0,0.01,0.005,0.0008725,1.1615537748029458e-05,9.72164678459734e-06
52,FB200807C00325000,FB,249.32999999999998,0.7671692307692307,C,325.0,1,1.125004375,0.04,0.0,0.01,0.005,0.0008725,1.1573088191655333e-05,9.540810222362265e-06
958,FB200807P00325000,FB,249.32999999999998,0.7671692307692307,P,325.0,1,1.3906280468749999,71.04,75.3,76.55,75.925,0.0008725,75.66990725075937,75.67040976932283
53,FB200807C00330000,FB,249.32999999999998,0.7555454545454545,C,330.0,1,1.1875040625,0.01,0.0,0.01,0.005,0.0008725,1.1793496562239746e-05,9.596001420388546e-06
959,FB200807P00330000,FB,249.32999999999998,0.7555454545454545,P,330.0,1,1.4609401953124999,78.28,80.3,81.55,80.925,0.0008725,80.66986612621596,80.6703726677891
54,FB200807C00335000,FB,249.32999999999998,0.7442686567164178,C,335.0,1,1.2500037499999999,0.01,0.0,0.01,0.005,0.0008725,1.2243161656831907e-05,9.885392415852764e-06
960,FB200807P00335000,FB,249.32999999999998,0.7442686567164178,P,335.0,1,1.5312523437499999,85.25,85.3,86.55,85.925,0.0008725,85.66983776219655,85.67035384545365
55,FB200807C00340000,FB,249.32999999999998,0.7333235294117647,C,340.0,1,1.3125034374999998,0.01,0.0,0.01,0.005,0.0008725,1.2906217805079123e-05,1.0407180873819605e-05
56,FB200807C00345000,FB,249.32999999999998,0.722695652173913,C,345.0,1,0.500005,0.01,0.0,0.0,0.0,0.0008725,7.121298045281999e-36,1.4133141239383471e-42
961,FB200807P00345000,FB,249.32999999999998,0.722695652173913,P,345.0,1,1.6640641796875002,93.15,95.3,96.55,95.925,0.0008725,95.669762526021,95.67032160291872
57,FB200807C00350000,FB,249.32999999999998,0.7123714285714285,C,350.0,1,1.4375028125,0.01,0.0,0.01,0.005,0.0008725,1.4865415450261515e-05,1.2140865764903982e-05
962,FB200807P00350000,FB,249.32999999999998,0.7123714285714285,P,350.0,1,1.7265638671875,98.3,100.3,101.55,100.925,0.0008725,100.66971763570325,100.67029496335701
58,FB200807C00355000,FB,249.32999999999998,0.702338028169014,C,355.0,1,1.46875265625,0.01,0.0,0.01,0.005,0.0008725,9.871750354024738e-06,8.173356834545024e-06
963,FB200807P00355000,FB,249.32999999999998,0.702338028169014,P,355.0,1,1.7890635546875,102.25,105.3,106.55,105.925,0.0008725,105.66968219374161,105.67027261770271
59,FB200814C00125000,FB,249.32999999999998,1.99464,C,125.0,8,2.241215334472656,120.0,123.45,124.7,124.075,0.0010884260869565218,124.72787303231654,124.72537643553146
60,FB200814C00130000,FB,249.32999999999998,1.9179230769230768,C,130.0,8,2.1269578076171873,109.7,118.45,119.7,119.075,0.0010884260869565218,119.72932695052071,119.7276272361925
964,FB200814P00130000,FB,249.32999999999998,1.9179230769230768,P,130.0,8,1.4921900390624998,0.02,0.0,0.07,0.035,0.0010884260869565218,0.018142444630964205,0.01744206202335736
965,FB200814P00135000,FB,249.32999999999998,1.8468888888888888,P,135.0,8,1.3906280468749999,0.04,0.0,0.06,0.03,0.0010884260869565218,0.015414705057194555,0.01464771220813191
966,FB200814P00140000,FB,249.32999999999998,1.7809285714285714,P,140.0,8,1.3359408203124996,0.03,0.0,0.07,0.035,0.0010884260869565218,0.018720122538631367,0.01822087960370596
61,FB200814C00145000,FB,249.32999999999998,1.7195172413793103,C,145.0,8,1.8320320898437497,88.95,103.45,104.75,104.1,0.0010884260869565218,104.76982783269057,104.76467891122414
967,FB200814P00145000,FB,249.32999999999998,1.7195172413793103,P,145.0,8,1.2578162109375,0.03,0.0,0.07,0.035,0.0010884260869565218,0.01839790537917857,0.017928457378808233
968,FB200814P00150000,FB,249.32999999999998,1.6622,P,150.0,8,1.1484417578125,0.02,0.0,0.05,0.025,0.0010884260869565218,0.013030543143095263,0.012442518528513163
969,FB200814P00155000,FB,249.32999999999998,1.6085806451612903,P,155.0,8,0.98437515625,0.01,0.0,0.02,0.01,0.0010884260869565218,0.004200439107368822,0.003916209524677471
970,FB200814P00160000,FB,249.32999999999998,1.5583125,P,160.0,8,0.87500125,0.01,0.0,0.01,0.005,0.0010884260869565218,0.0020332265955253018,0.0018999107803641254
62,FB200814C00165000,FB,249.32999999999998,1.511090909090909,C,165.0,8,1.4453152734375,68.15,83.45,84.75,84.1,0.0010884260869565218,84.77620546566752,84.77499111617422
971,FB200814P00165000,FB,249.32999999999998,1.511090909090909,P,165.0,8,0.9765627343750001,0.01,0.0,0.07,0.035,0.0010884260869565218,0.01845066667701506,0.01781296866457665
63,FB200814C00170000,FB,249.32999999999998,1.4666470588235294,C,170.0,8,0.7500025,82.07,78.5,79.75,79.125,0.0010884260869565218,79.33568641033321,79.33559379182206
972,FB200814P00170000,FB,249.32999999999998,1.4666470588235294,P,170.0,8,0.7656273437500001,0.01,0.0,0.01,0.005,0.0010884260869565218,0.0021909134980044598,0.002041372843403389
64,FB200814C00175000,FB,249.32999999999998,1.424742857142857,C,175.0,8,1.2480506347656248,78.03,73.5,74.7,74.1,0.0010884260869565218,74.74207181801225,74.7413650699508
973,FB200814P00175000,FB,249.32999999999998,1.424742857142857,P,175.0,8,0.8359391406249999,0.02,0.0,0.06,0.03,0.0010884260869565218,0.016003940755537016,0.015481355551698592
65,FB200814C00180000,FB,249.32999999999998,1.3851666666666667,C,180.0,8,1.1630901220703125,73.32,68.5,69.7,69.1,0.0010884260869565218,69.74445407686622,69.74337956685974
974,FB200814P00180000,FB,249.32999999999998,1.3851666666666667,P,180.0,8,0.79687703125,0.04,0.0,0.08,0.04,0.0010884260869565218,0.021565642307006416,0.021141395155296432
66,FB200814C00185000,FB,249.32999999999998,1.3477297297297297,C,185.0,8,0.5937540625000001,66.15,63.5,64.75,64.125,0.0010884260869565218,64.33607898066421,64.33593951932117
975,FB200814P00185000,FB,249.32999999999998,1.3477297297297297,P,185.0,8,0.7382838671874999,0.01,0.0,0.08,0.04,0.0010884260869565218,0.02248472625818465,0.021957486224367124
67,FB200814C00190000,FB,249.32999999999998,1.3122631578947368,C,190.0,8,0.5468795312500001,60.54,58.5,59.75,59.125,0.0010884260869565218,59.33633628780569,59.33624030014186
976,FB200814P00190000,FB,249.32999999999998,1.3122631578947368,P,190.0,8,0.6953155468750001,0.05,0.01,0.09,0.049999999999999996,0.0010884260869565218,0.028807502888419156,0.0283014508847769
68,FB200814C00195000,FB,249.32999999999998,1.2786153846153845,C,195.0,8,0.500005,37.5,53.5,54.75,54.125,0.0010884260869565218,54.336571525874035,54.33648314330885
977,FB200814P00195000,FB,249.32999999999998,1.2786153846153845,P,195.0,8,0.6543003320312502,0.04,0.03,0.1,0.065,0.0010884260869565218,0.038047965674946393,0.03692114613824465
69,FB200814C00200000,FB,249.32999999999998,1.2466499999999998,C,200.0,8,0.6093789062500001,49.68,48.65,49.75,49.2,0.0010884260869565218,49.382700000235275,49.38195684356398
978,FB200814P00200000,FB,249.32999999999998,1.2466499999999998,P,200.0,8,0.5937540625000001,0.04,0.05,0.08,0.065,0.0010884260869565218,0.03831428114296509,0.03770317006244421
70,FB200814C00205000,FB,249.32999999999998,1.2162439024390244,C,205.0,8,0.6025430371093752,47.87,43.75,44.8,44.275,0.0010884260869565218,44.43481869462261,44.434269240361886
979,FB200814P00205000,FB,249.32999999999998,1.2162439024390244,P,205.0,8,0.5742230078125,0.1,0.06,0.16,0.11,0.0010884260869565218,0.069684175833443,0.06885853413654502
980,FB200814P00207500,FB,249.32999999999998,1.201590361445783,P,207.5,8,0.5390671093750001,0.11,0.08,0.13,0.10500000000000001,0.0010884260869565218,0.06614686871674236,0.06533722541643115
71,FB200814C00210000,FB,249.32999999999998,1.1872857142857143,C,210.0,8,0.5380905566406251,40.09,38.7,39.85,39.275000000000006,0.0010884260869565218,39.4360338175845,39.43498470226635
981,FB200814P00210000,FB,249.32999999999998,1.1872857142857143,P,210.0,8,0.5273484765625001,0.13,0.12,0.15,0.135,0.0010884260869565218,0.08745707006509029,0.08696881935739854
72,FB200814C00212500,FB,249.32999999999998,1.1733176470588234,C,212.5,8,0.5185595019531251,24.4,36.25,37.35,36.8,0.0010884260869565218,36.955015309558405,36.954237465885946
982,FB200814P00212500,FB,249.32999999999998,1.1733176470588234,P,212.5,8,0.5039112109375,0.16,0.12,0.18,0.15,0.0010884260869565218,0.09855455935988244,0.09719044923156081
73,FB200814C00215000,FB,249.32999999999998,1.159674418604651,C,215.0,8,0.6486851538085938,38.39,33.75,34.9,34.325,0.0010884260869565218,34.92527821983168,34.92162969872668
983,FB200814P00215000,FB,249.32999999999998,1.159674418604651,P,215.0,8,0.5102588037109376,0.18,0.11,0.24,0.175,0.0010884260869565218,0.1645211891715581,0.16287579593721777
74,FB200814C00217500,FB,249.32999999999998,1.146344827586207,C,217.5,8,0.6086464916992189,35.8,31.35,32.4,31.875,0.0010884260869565218,32.427646118242535,32.42732909725014
984,FB200814P00217500,FB,249.32999999999998,1.146344827586207,P,217.5,8,0.49023947265625006,0.21,0.15,0.28,0.21500000000000002,0.0010884260869565218,0.19558125951278083,0.1948087879589393
75,FB200814C00220000,FB,249.32999999999998,1.1333181818181817,C,220.0,8,0.5861857788085938,30.32,28.85,30.0,29.425,0.0010884260869565218,30.0131880709435,30.01147127643298
985,FB200814P00220000,FB,249.32999999999998,1.1333181818181817,P,220.0,8,0.46484910156250003,0.28,0.2,0.31,0.255,0.0010884260869565218,0.21928526663173642,0.21763987859736475
76,FB200814C00222500,FB,249.32999999999998,1.1205842696629214,C,222.5,8,0.5532271240234375,26.0,26.35,27.55,26.950000000000003,0.0010884260869565218,27.557411169655126,27.555719373958166
